,precision,recall,pf,F1,AUC,g_measure,g_mean,bal,MCC,popt,cErecall,cEprecision,cEfmeasure,cPMI,cIFA
Afwall,0.2678623083598496,0.635116598079561,0.2790518191841235,0.3768056968463886,0.6780323894477187,0.6753160514417197,0.6766728574366108,0.6751848104021294,0.2618914459751125,0.6662491060815192,0.4602194787379972,0.2593737920371086,0.3317676143386898,0.2457256838905775,3.0
Alfresco-android-app,0.3639575971731448,0.3814814814814815,0.2316602316602316,0.3725135623869801,0.574910624910625,0.5098312335990647,0.5413939352332949,0.5329712960196049,0.1475794576865716,0.445773164861611,0.3111111111111111,0.358974358974359,0.3333333333333333,0.2234957020057306,10.0
AndroidAPS,0.3911010801225213,0.7125862828609194,0.3221184597671741,0.5050221181368723,0.6952339115468726,0.6948008130095032,0.6950173285426373,0.6947403179893552,0.3315308506797806,0.719296760060262,0.5542664121016302,0.3986058301647655,0.4637218160594704,0.3128883013879709,1.0
AntennaPod,0.5198758299560231,0.6760484413545638,0.3406963225845928,0.5877650499634414,0.6676760593849854,0.6675710731736945,0.6676235642156575,0.6675706115793367,0.3216169460181169,0.6733342196058355,0.5072886297376094,0.5279495857159529,0.5174129353233831,0.3392185582518506,3.0
AnySoftKeyboard,0.7003145944467241,0.4120724346076458,0.1790764201062525,0.5188488042156464,0.6164980072506967,0.5487122005506831,0.5816184128736304,0.5654156086637189,0.2550780347919406,0.5422459744522146,0.3832595573440643,0.7157673230121749,0.4992137540622706,0.2697891321978913,4.0
Atmosphere,0.6785579035067788,0.5465137558714085,0.2612013786312162,0.6054196513042303,0.6426561886200962,0.6282731210662253,0.6354239603578643,0.6299486969265583,0.2906616177886517,0.6215582385463655,0.3556396022692613,0.6813931743805517,0.4673534009379134,0.2621243221715021,1.0
ChatSecureAndroid,0.5572003789673141,0.6324774835327329,0.3207239663750214,0.5924573443304162,0.6558767585788557,0.6550419583431065,0.6554592255596243,0.6550821382432055,0.3061051179231451,0.6515954910476465,0.3735717166285791,0.5738178814784225,0.4525321608858492,0.2536000418913965,2.0
Conversations,0.5008856227623893,0.6651486337703933,0.3956858175734217,0.5714469978717458,0.6347314080984858,0.6332737716781495,0.6340021709813861,0.633467120373505,0.2607484438233983,0.6572718532850167,0.4150235211690521,0.5051471036121093,0.4556718591170087,0.3071296278974052,3.0
Facebook-android-sdk,0.1388349514563106,0.5618860510805501,0.2984522207267833,0.2226547294667185,0.6317169151768834,0.6239977145930663,0.6278454517953899,0.6251549918335961,0.1523195424002181,0.5736836888488959,0.4793713163064833,0.1391106043329532,0.2156429518338488,0.2718115605144894,6.0
K-9,0.4695422034602681,0.6688580775821779,0.3933373339604586,0.551751612820315,0.6377603718108595,0.6362440228074031,0.6370017461107045,0.6364279775136071,0.2615447274417482,0.6520486659333266,0.3163109518616607,0.4651972689364432,0.3765718312993805,0.2327737008277156,2.0
Kiwix-android,0.2752678155565906,0.5108038029386344,0.2879171035588725,0.3577481840193704,0.6114433496898808,0.5948787433769113,0.603104179648662,0.5986216387614842,0.1810394877408071,0.6059508780591409,0.3382310573321809,0.2708814028610983,0.300832799487508,0.2201788254419833,1.0
Owncloud-android,0.5936737076743446,0.6641729010806318,0.2725913266396069,0.626947651608564,0.6957907872205124,0.6943540180906022,0.695072031416159,0.6941521033849178,0.384146411685489,0.6873340481895289,0.459802873767961,0.597623089983022,0.5197315436241611,0.2884170227920228,2.0
PageTurner,0.2459580323357413,0.6316254416961131,0.2853423587607394,0.3540480316910127,0.6731415414676869,0.6705810301427058,0.671860066017657,0.6705154958812736,0.2464254957265161,0.7105099232277295,0.5830388692579506,0.243992606284658,0.3440187646598905,0.3068981166326299,1.0
Reddit,0.4482758620689655,0.5131578947368421,0.1714285714285714,0.4785276073619632,0.6708646616541353,0.6337909778649483,0.6520643909345243,0.6350321996674881,0.3258609295849637,0.6087668149966747,0.4605263157894737,0.4430379746835443,0.4516129032258064,0.2219101123595505,1.0
SeriesGuide,0.3637724550898203,0.5516458569807038,0.2933867182106862,0.4384303112313937,0.6291295693850089,0.6195866612463532,0.6243398829056283,0.6211219167166012,0.2284225883401993,0.5982083883593222,0.4737797956867196,0.357669237360754,0.4076171875,0.30887724313165,1.0
Wallpaper,0.1740211311373524,0.7052896725440806,0.5358870967741935,0.2791625124626122,0.5847012878849435,0.5598312237752824,0.5721311366632755,0.5675481774820177,0.1176802153534997,0.6560912895667862,0.6020151133501259,0.1724386724386724,0.2680874929893438,0.4817518248175182,2.0
Median,0.4196884710957434,0.632051462614423,0.2906519108847794,0.49177486274941773,0.6402082802154778,0.6335323747715489,0.6362128532342843,0.6342496600204965,0.26114658563257326,0.6518220784904865,0.46001117625297905,0.42082190242415485,0.4296150453629032,0.2708003463561903,2.0
